sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target,target_name
6.8,2.8,4.8,1.4,1,versicolor
6.7,3.0,5.0,1.7,1,versicolor
6.0,2.9,4.5,1.5,1,versicolor
5.7,2.6,3.5,1.0,1,versicolor
5.5,2.4,3.8,1.1,1,versicolor
5.5,2.4,3.7,1.0,1,versicolor
5.8,2.7,3.9,1.2,1,versicolor
6.0,2.7,5.1,1.6,1,versicolor
5.4,3.0,4.5,1.5,1,versicolor
6.0,3.4,4.5,1.6,1,versicolor
6.7,3.1,4.7,1.5,1,versicolor
6.3,2.3,4.4,1.3,1,versicolor
5.6,3.0,4.1,1.3,1,versicolor
5.5,2.5,4.0,1.3,1,versicolor
5.5,2.6,4.4,1.2,1,versicolor
6.1,3.0,4.6,1.4,1,versicolor
5.8,2.6,4.0,1.2,1,versicolor
5.0,2.3,3.3,1.0,1,versicolor
5.6,2.7,4.2,1.3,1,versicolor
5.7,3.0,4.2,1.2,1,versicolor
5.7,2.9,4.2,1.3,1,versicolor
6.2,2.9,4.3,1.3,1,versicolor
5.1,2.5,3.0,1.1,1,versicolor
5.7,2.8,4.1,1.3,1,versicolor
6.3,3.3,6.0,2.5,2,virginica
5.8,2.7,5.1,1.9,2,virginica
7.1,3.0,5.9,2.1,2,virginica
6.3,2.9,5.6,1.8,2,virginica
6.5,3.0,5.8,2.2,2,virginica
7.6,3.0,6.6,2.1,2,virginica
4.9,2.5,4.5,1.7,2,virginica
7.3,2.9,6.3,1.8,2,virginica
6.7,2.5,5.8,1.8,2,virginica
7.2,3.6,6.1,2.5,2,virginica
6.5,3.2,5.1,2.0,2,virginica
6.4,2.7,5.3,1.9,2,virginica
6.8,3.0,5.5,2.1,2,virginica
5.7,2.5,5.0,2.0,2,virginica
5.8,2.8,5.1,2.4,2,virginica
6.4,3.2,5.3,2.3,2,virginica
6.5,3.0,5.5,1.8,2,virginica
7.7,3.8,6.7,2.2,2,virginica
7.7,2.6,6.9,2.3,2,virginica
6.0,2.2,5.0,1.5,2,virginica
6.9,3.2,5.7,2.3,2,virginica
5.6,2.8,4.9,2.0,2,virginica
7.7,2.8,6.7,2.0,2,virginica
6.3,2.7,4.9,1.8,2,virginica
6.7,3.3,5.7,2.1,2,virginica
7.2,3.2,6.0,1.8,2,virginica
6.2,2.8,4.8,1.8,2,virginica
6.1,3.0,4.9,1.8,2,virginica
6.4,2.8,5.6,2.1,2,virginica
7.2,3.0,5.8,1.6,2,virginica
7.4,2.8,6.1,1.9,2,virginica
7.9,3.8,6.4,2.0,2,virginica
6.4,2.8,5.6,2.2,2,virginica
6.3,2.8,5.1,1.5,2,virginica
6.1,2.6,5.6,1.4,2,virginica
7.7,3.0,6.1,2.3,2,virginica
6.3,3.4,5.6,2.4,2,virginica
6.4,3.1,5.5,1.8,2,virginica
6.0,3.0,4.8,1.8,2,virginica
6.9,3.1,5.4,2.1,2,virginica
6.7,3.1,5.6,2.4,2,virginica
6.9,3.1,5.1,2.3,2,virginica
5.8,2.7,5.1,1.9,2,virginica
6.8,3.2,5.9,2.3,2,virginica
6.7,3.3,5.7,2.5,2,virginica
6.7,3.0,5.2,2.3,2,virginica
6.3,2.5,5.0,1.9,2,virginica
6.5,3.0,5.2,2.0,2,virginica
6.2,3.4,5.4,2.3,2,virginica
5.9,3.0,5.1,1.8,2,virginica
5.845071229516849,3.292603548243223,2.3715328071510386,2.484544784612038,3,unknown
4.548769937914996,2.648794564576229,3.768819223261087,1.351152093729363,3,unknown
3.995788421097572,4.013840065378947,0.6048734607813067,-0.49859463035538526,3,unknown
4.962943407349051,0.23007963301330348,-1.0873767487695494,-0.643431293861459,3,unknown
3.480753319498364,4.0713709988929105,0.037963886718183515,-1.9184555520029372,3,unknown
7.598473153382331,3.5613355492701966,1.8012923070318858,-1.7371222793201855,3,unknown
3.7834259132122257,3.5663838845647993,-0.3264903661334544,0.863547027518508,3,unknown
4.099041965121793,2.9624593753100847,0.5974400816559047,2.9784172767634067,3,unknown
4.379754162893099,1.3134336065661494,2.6338173681547836,-1.6312654749565334,3,unknown
5.213295392507133,0.16049481418033684,-0.49227907334764565,0.39529185380368526,3,unknown
6.507699869993116,3.957052421784956,1.3265275764176392,-0.2516555433839332,3,unknown
2.582217014448859,2.320233687407937,0.9090418435603188,1.7856833393283735,3,unknown
5.315427434352692,0.3554397669558993,1.8861259540921924,-0.4776234206244748,3,unknown
3.2846169995410617,3.917514433261302,2.6464992837439265,1.4969201786742978,3,unknown
4.5411737151660425,3.536181436223178,1.696895147105346,1.6633176906835387,3,unknown
4.981238643232065,4.121511535004275,-0.1595024610090423,-1.3943099361210063,3,unknown
6.618788733591297,5.934360042856234,1.1919848176294994,1.9052993468380364,3,unknown
5.642454037571451,2.5323203680923134,1.942093408262621,2.6070548496989536,3,unknown
5.646260941335073,6.14696548372101,-2.229617656134616,1.5328537565628357,3,unknown
5.230570602357257,3.3514889743011986,1.6376411648032534,-2.6813533719013396,3,unknown
5.0704921682437325,3.9356688572676193,3.9168410671122738,-0.5774053274104711,3,unknown
3.8872595956602183,2.9473644346231955,2.873103176553111,0.8931266644895267,3,unknown
3.805359694349441,4.369901149670034,1.1456163240220607,1.6529674857993337,3,unknown
4.0469203591839715,2.8085067801033476,1.1118377703017635,-1.6952724221981779,3,unknown
5.244180415596864,3.791582908269834,1.9076701849636912,-0.15188070006272036,3,unknown
2.8769438869243786,2.3690320158519613,1.0859282252098459,-1.0034159038324284,3,unknown
4.758071432500986,4.006076285221807,4.429278851815795,0.6618667192477585,3,unknown
5.586325586084147,3.3883311263507494,-1.3781568229485623,0.1602291868261747,3,unknown
5.29034531491154,7.0948631687279295,1.111458552828316,0.6523210135004187,3,unknown
4.647932345442135,1.4469829435707022,3.314234221772531,1.327899549030161,3,unknown
5.98654792056457,1.7359188178078917,3.704191466404149,-1.9027765941884216,3,unknown
6.280285640700406,6.6856834387149675,0.014195512303967428,-0.4494465944041578,3,unknown
5.349477047631462,3.3447865188257007,-0.8259951465991993,0.202844462209041,3,unknown
3.9065444294108427,4.910388645952772,0.02086364864929524,2.524901607526309,3,unknown
3.7251200614956446,2.6169077256914868,2.720275826054505,-1.646296474650933,3,unknown
5.341189901906194,5.160714131423642,-1.2112248518418414,0.47695078779845634,3,unknown
5.889824191372635,4.672734307665966,-0.5554260663171229,-1.7806849196264145,3,unknown
5.682912348425347,4.04547700984978,1.7757392755188146,0.6196723142454635,3,unknown
3.3799629176322643,3.3483805457415055,1.739608709948022,-0.8715271270395517,3,unknown
7.898661766717135,4.110749381367681,-0.286955245803973,1.1848304129507445,3,unknown
3.537977494659018,4.6806269056136784,3.0378933685111065,-0.9310234775275656,3,unknown
5.945064193866482,2.919171390404747,2.533090239991735,3.145189473980921,3,unknown
4.031917825995695,2.0693957534637657,-0.0342716444382849,-1.0237154274481575,3,unknown
4.884347435878844,4.011727962224966,2.0150361989950287,1.840774873554036,3,unknown
5.11950283781686,5.980301115735975,1.5030147501430657,4.480253749884429,3,unknown
5.738501021647509,1.7142636653755763,-0.20633874709166866,1.023708622864778,3,unknown
4.7648058220112235,4.871000741138138,2.3098564368603176,0.09075663101469085,3,unknown
3.3298094228973922,0.927729162971203,0.7302275718994683,1.4845981914852084,3,unknown
5.621140616195306,1.8313918319320182,1.759771388776773,0.7779760695932552,3,unknown
3.6742138456983007,3.5305876589182916,1.4873130776689998,-1.5144554467459346,3,unknown
